"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@fs_andika @KompasTV @wa_riedin Rakyat menengah kebawah ngelu liat aja mobil cuma Avanza lalu di negara mana sudah… https://t.co/uoWPCfnUlV",FALSE,0,"fs_andika",2022-12-08 14:22:38,TRUE,"1600789328497901569","1600858396844232706","1147684430976184320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OxDyanA",0,FALSE,FALSE,NA,NA
"2","RT @idextratime: 🚨 BREAKING: Endrick (16/CF/🇧🇷) ke Real Madrid = HERE WE GO!

• Biaya transfer €60 juta + pajak €12 juta
• Endrick baru aka…",FALSE,0,NA,2022-12-08 14:22:10,FALSE,NA,"1600858275947290624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raf8756",4,TRUE,FALSE,NA,NA
"3","DPRD Minta Pemprov DKI Jakarta Optimalkan Penerimaan Pajak Usai Hibah Aset Jalan Nasional https://t.co/C5PtUqx1mR",FALSE,0,NA,2022-12-08 14:21:49,FALSE,NA,"1600858188194222081",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>","aktualofficial",0,FALSE,FALSE,NA,NA
"4","@mengenthusiast Sekitar 72k seinget ku, ama pajak jd 80an soalnya",FALSE,0,"mengenthusiast",2022-12-08 14:21:19,FALSE,"1600850037046620160","1600858064575340544","1017381570464833537","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","claisyeo",0,FALSE,FALSE,NA,NA
"5","RT @detikcom: Dirjen Pajak Kemenkeu, Suryo Utomo, mengakui dirinya merupakan PNS dengan gaji tertinggi di Indonesia! Berapa ya total hartan…",FALSE,0,NA,2022-12-08 14:20:17,FALSE,NA,"1600857802792124416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjiHendr",2,TRUE,FALSE,NA,NA
"6","RT @idextratime: 🚨 BREAKING: Endrick (16/CF/🇧🇷) ke Real Madrid = HERE WE GO!

• Biaya transfer €60 juta + pajak €12 juta
• Endrick baru aka…",FALSE,0,NA,2022-12-08 14:20:16,FALSE,NA,"1600857799747309569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","loginpage_",4,TRUE,FALSE,NA,NA
"7","AMO open joki tugas apapun ya⚡️

matpel ipa ips soshum, manajemen bisnis, statistika, sdm, keuangan, ekonomi, pajak… https://t.co/yOINrij5tI",FALSE,0,NA,2022-12-08 14:19:56,TRUE,NA,"1600857713789239296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amourbie",0,FALSE,FALSE,NA,NA
"8","RT @SoftWarNews: Orang-orang diminta untuk membuat beban minimum pada jaringan, dan media lokal menerbitkan catatan tentang cara mendapatka…",FALSE,0,NA,2022-12-08 14:19:45,FALSE,NA,"1600857668083908609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MahaBhisma",1,TRUE,FALSE,NA,NA
"9","Orang bijak taat pajak, orang jahat makan pajak. orang gila tak diajak #KataBajak",FALSE,0,NA,2022-12-08 14:19:41,FALSE,NA,"1600857652824875010",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","RofiPareno",0,FALSE,FALSE,NA,NA
"10","RT @detikcom: Direktur Jenderal Pajak Kementerian Keuangan Suryo Utomo mengaku ia merupakan ASN/PNS dengan bayaran termahal di Indonesia. B…",FALSE,0,NA,2022-12-08 14:19:08,FALSE,NA,"1600857513913565184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HendragunaSonny",5,TRUE,FALSE,NA,NA
