"","klasifikasi","score","text"
"1","Negatif",-2,"  pada dasarnya kita selalu merugi karena membayar pajak untuk menggaji orang yg sepertinya kurang dalam bi"
"2","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"3","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"4","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"5","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"6","Negatif",-4,"  lupa tulis nomer saking geli  mau bukti terkini kebo ga punya harga diri  kebo bawa  anggota kandang ngurus"
"7","Positif",2," penerimaan pajak capai  persen dari target apbn  per oktober  menteri keuangan sri mulyani menyampaikan realisasi "
"8","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"9","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"10","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"11","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"12","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"13","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"14","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"15","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"16","Netral",0," sibuk numpahin litter box nyolong daleman di tumpukan cucian nyakarin sofa etc mana sempat kerja di k "
"17","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"18","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"19","Netral",0," bikin saham mulu dah gue lulusan perduitan tapi gue sampe sekarang masih remedi pajak sama saham  lan "
"20","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"21","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"22","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"23","Positif",2," keren kan  kami rakyat yg membayar pajak sangat bangga dengan tingkah laku kalian"
"24","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"25","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"26","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"27","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"28","Negatif",-1,"   anda bego itu bukan pulau dijual tapi izin pengelolaan pulau tsb dijual s "
"29","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"30","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"31","Negatif",-1,"   mudah untuk bicara berat melakukan nya kau kira bangun penjara nggak pak "
"32","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"33","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"34","Negatif",-1,"nih kalau orang berlimu pengetahuan yg mumpuni tidak asal kerja kerja kerja tanpa konsep tanpa gagasan akhirnya man "
"35","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"36","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"37","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"38","Negatif",-3,"  ayam  nasi dan cola uk sedang k udah sama pajak pake apk mcd"
"39","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"40","Positif",1," pemerintah digaji pajak rakyat kerjaannya didelegasikan kembali ke rakyat percuma bayar pajak"
"41","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"42","Negatif",-1," beruntung ya  saya malah sampe saat ini susah nyari kerja admin pajak pengennya di admin penjualan "
"43","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"44","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"45","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"46","Netral",0,"bri dapat menjalankan bisnisnya sebagai commercial bank dengan membukukan laba rp triliun dalam  bulan pertam "
"47","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"48","Negatif",-1,"   penguasa balaikota jakarta  pegawai pajak  selebcatpengusaha fashion  pengangguran cerewet  "
"49","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"50","Netral",0," bayar pajak "
"51","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"52","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"53","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"54","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"55","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"56","Negatif",-1," yang kaya kadang nakal ngakalin pajak tapi pingin harta terus bertambah  bertemu oknum petugas nakal klop"
"57","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"58","Negatif",-1," vbb  surat lengkap pajak onjt sajawa     jualvespa  vespamurah jualvespavbb "
"59","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"60","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"61","Negatif",-1," jokowi kaget investor ikn membludak  sebelumnya nawarin investasi kesana kesini sampai ditawarin diskon pajak dan hgb"
"62","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"63","Netral",0,"    bner anjeng kk cowo gw yg pertama kek babi bgt nyusahin ortu ml "
"64","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"65","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"66","Negatif",-2,"grade pns ditjen pajak  sedangkan pns dki mendapat tpp besar karena pad dki sekitar  dari apbd atau lebih d "
"67","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
